# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	7.084221e-07	2.0508553e-06	0.011688492	0	0	0
0	4.2520512e-07	1.4661983e-06	0.055893406	0	0	0.02
0	3.971112e-07	1.605529e-06	0.10003198	0	0	0.04
0	2.482894e-07	1.1480538e-06	0.14417599	0	0	0.059999995
0	1.2072788e-07	6.351501e-07	0.18838646	0	0	0.08
0	5.2391343e-08	3.2535783e-07	0.2327111	0	0	0.1
0	2.0500961e-08	1.6135016e-07	0.27718115	0	0	0.11999999
0	9.870833e-09	8.1624194e-08	0.32180995	0	0	0.14
0	6.074359e-09	4.1761215e-08	0.3665918	0	0	0.16
0	4.555769e-09	2.7334615e-08	0.41150305	0	0	0.18
0	2.2778845e-09	2.3158492e-08	0.4565033	0	0	0.2
0	3.7964742e-10	1.6704487e-08	0.5015462	0	0	0.22
0	3.7964742e-09	7.5929485e-09	0.5465741	0	0	0.23999998
0	2.657532e-09	4.555769e-09	0.5915366	0	0	0.26000002
0	1.1389423e-09	7.5929485e-10	0.6363921	0	0	0.28
0	2.2778845e-09	3.7964742e-09	0.6811175	0	0	0.3
0	1.8982371e-09	6.8336536e-09	0.7257382	0	0	0.32
0	-2.2778845e-09	8.352243e-09	0.77038443	0	0	0.33999997
0	-1.7843428e-08	3.4927563e-08	0.81573814	0	0	0.36
0	-6.3353665e-09	1.5185897e-09	0.84126186	0	0	0.37999997
0	-1.11236695e-07	-1.10857044e-07	0.88242406	0	0	0.4
0	-2.1041959e-07	-2.1867692e-07	0.9189975	0	0	0.42
0	-1.7698689e-07	-1.7995288e-07	0.9458241	0	0	0.44
0	-6.069613e-08	-6.378077e-08	0.960749	0	0	0.46
0	-1.981285e-08	-1.9741666e-08	0.9693402	0	0	0.47999996
0	-5.9794467e-09	-5.6947114e-09	0.97516173	0	0	0.5
0	-2.7405798e-09	-1.1389423e-09	0.97948754	0	0	0.52000004
0	8.3047874e-11	3.7964742e-10	0.98297316	0	0	0.54
0	1.5393516e-09	3.4168268e-09	0.99098194	0	0	0.56
0	2.6812599e-09	3.0371794e-09	0.99175733	0	0	0.5799999
0	2.3550004e-09	3.7964742e-09	0.99240154	0	0	0.6
0	6.2285904e-10	1.8982371e-09	0.99294937	0	0	0.62000006
0	1.984251e-09	1.1389423e-09	0.99342304	0	0	0.64
0	8.8683266e-10	2.657532e-09	0.99383837	0	0	0.66
0	9.2835656e-10	1.1389423e-09	0.99420595	0	0	0.67999995
0	1.2308882e-09	7.5929485e-10	0.9945341	0	0	0.7
0	1.2546161e-09	9.491186e-10	0.994829	0	0	0.72
0	8.067508e-10	1.1389423e-09	0.99509573	0	0	0.74000007
0	9.520845e-10	1.8982371e-10	0.9953382	0	0	0.75999993
0	7.7709084e-10	3.7964742e-10	0.9955597	0	0	0.78
0	5.5464117e-10	7.5929485e-10	0.9957627	0	0	0.8
0	8.423427e-10	1.7084134e-09	0.9959496	0	0	0.82000005
0	5.931991e-10	1.1389423e-09	0.9961223	0	0	0.84
0	5.368452e-10	1.328766e-09	0.9962821	0	0	0.86
0	1.1211463e-09	1.328766e-09	0.99643064	0	0	0.88
0	7.414989e-11	7.5929485e-10	0.9965688	0	0	0.9
0	3.262595e-10	1.8982371e-10	0.9966978	0	0	0.92
0	4.745593e-10	7.5929485e-10	0.9968186	0	0	0.9400001
0	6.7624695e-10	7.5929485e-10	0.9969316	0	0	0.9599999
0	4.9235527e-10	7.5929485e-10	0.9970378	0	0	0.98
0	-8.3047874e-11	7.5929485e-10	0.9971378	0	0	1
0	4.7752524e-10	7.5929485e-10	0.9970378	0	0	0.98
0	4.1523937e-10	9.491186e-10	0.9969316	0	0	0.9599999
0	5.9616506e-10	5.6947114e-10	0.9968186	0	0	0.9400001
0	3.915114e-10	5.6947114e-10	0.9966979	0	0	0.92
0	2.7880356e-10	7.5929485e-10	0.9965688	0	0	0.9
0	5.7836913e-10	7.5929485e-10	0.99643064	0	0	0.88
0	2.9066755e-10	1.328766e-09	0.9962822	0	0	0.86
0	5.931991e-12	3.7964742e-10	0.9961223	0	0	0.84
0	6.28791e-10	5.6947114e-10	0.9959497	0	0	0.82000005
0	1.1063163e-09	7.5929485e-10	0.99576294	0	0	0.8
0	6.82179e-10	9.491186e-10	0.9955597	0	0	0.78
0	4.3600135e-10	1.328766e-09	0.9953382	0	0	0.75999993
0	8.542067e-10	1.5185897e-09	0.9950958	0	0	0.74000007
0	9.906425e-10	7.5929485e-10	0.994829	0	0	0.72
0	1.4770657e-09	1.328766e-09	0.9945341	0	0	0.7
0	9.164926e-10	1.1389423e-09	0.99420595	0	0	0.67999995
0	7.652268e-10	2.2778845e-09	0.9938385	0	0	0.66
0	1.1715682e-09	1.8982371e-09	0.9934233	0	0	0.64
0	2.1325508e-09	1.5185897e-09	0.99294937	0	0	0.62000006
0	1.5571476e-09	2.657532e-09	0.9924017	0	0	0.6
0	2.037639e-09	-3.7964742e-10	0.99175733	0	0	0.5799999
0	1.299106e-09	3.0371794e-09	0.9909819	0	0	0.56
0	1.7973932e-09	3.7964742e-09	0.9900143	0	0	0.54
0	1.6105355e-09	2.2778845e-09	0.98873776	0	0	0.52000004
0	8.9276464e-10	3.4168268e-09	0.98688054	0	0	0.5
0	1.3346979e-09	3.4168268e-09	0.9836583	0	0	0.47999996
0	-8.690367e-10	0	0.97632205	0	0	0.46
0	-1.9765393e-08	-3.6066506e-08	0.95802265	0	0	0.44
0	-5.240914e-08	-8.428173e-08	0.927382	0	0	0.42
0	-7.180082e-08	-1.09813016e-07	0.8907885	0	0	0.4
0	-7.334314e-08	-1.15389085e-07	0.8515492	0	0	0.37999997
0	-7.082797e-08	-1.1357983e-07	0.8107901	0	0	0.36
0	-6.608238e-08	-1.0956387e-07	0.7689618	0	0	0.33999997
0	-5.9580916e-08	-9.975236e-08	0.72631896	0	0	0.32
0	-5.2391343e-08	-8.447155e-08	0.6830272	0	0	0.3
0	-4.6744088e-08	-7.308213e-08	0.63920844	0	0	0.28
0	-4.266288e-08	-6.2831646e-08	0.5949632	0	0	0.26000002
0	-3.8534214e-08	-5.789623e-08	0.5503784	0	0	0.23999998
0	-3.1510737e-08	-4.1761215e-08	0.50553095	0	0	0.22
0	-2.4866907e-08	-3.6066506e-08	0.46048522	0	0	0.2
0	-2.201955e-08	-2.8853204e-08	0.41527918	0	0	0.18
0	-1.7368869e-08	-2.96125e-08	0.36987546	0	0	0.16
0	1.1992683e-05	-9.687843e-06	0.318417	0	0	0.14
0	8.657385e-06	-7.325107e-06	0.27544588	0	0	0.11999999
0	6.469382e-06	-5.7357133e-06	0.23246677	0	0	0.1
0	5.1804786e-06	-4.786215e-06	0.18946171	0	0	0.08
0	4.744264e-06	-4.525777e-06	0.14639588	0	0	0.059999995
0	4.889574e-06	-4.7771036e-06	0.103221044	0	0	0.04
0	6.037533e-06	-5.9828635e-06	0.059879243	0	0	0.02
0	9.550695e-06	-9.526872e-06	0.01630717	0	0	-6.1756156e-16
0	0.006376227	-0.0063758134	-0.028363781	0	0	-0.02
0	0.006586229	-0.006585633	-0.072811596	0	0	-0.04
0	5.131884e-07	-5.193577e-07	-0.12207628	0	0	-0.059999995
0	9.2154664e-07	-9.293769e-07	-0.16639285	0	0	-0.08
0	1.1572603e-06	-1.1655176e-06	-0.21097259	0	0	-0.1
0	1.2815948e-06	-1.2923198e-06	-0.25581053	0	0	-0.11999999
0	1.3274372e-06	-1.3363589e-06	-0.30088222	0	0	-0.14
0	1.280266e-06	-1.2983942e-06	-0.3461454	0	0	-0.16
0	1.2246477e-06	-1.2391691e-06	-0.39154565	0	0	-0.18
0	1.1616024e-06	-1.1761477e-06	-0.43702444	0	0	-0.2
0	1.1162109e-06	-1.1328679e-06	-0.48252717	0	0	-0.22
0	1.0635348e-06	-1.0857916e-06	-0.52800804	0	0	-0.23999998
0	1.0018658e-06	-1.0265666e-06	-0.5734307	0	0	-0.26000002
0	9.321412e-07	-9.55193e-07	-0.6187639	0	0	-0.28
0	8.3043125e-07	-8.564846e-07	-0.66397315	0	0	-0.3
0	6.987292e-07	-7.1829294e-07	-0.7090067	0	0	-0.32
0	5.280896e-07	-5.4972946e-07	-0.75375676	0	0	-0.33999997
0	2.9012182e-07	-3.0371794e-07	-0.7980006	0	0	-0.36
0	-2.5887209e-08	1.2148718e-08	-0.8412529	0	0	-0.37999997
0	-3.9284018e-07	3.9027753e-07	-0.8824227	0	0	-0.4
0	-7.266689e-07	7.380346e-07	-0.918998	0	0	-0.42
0	-5.9407705e-07	5.945279e-07	-0.945825	0	0	-0.44
0	-2.1089414e-07	2.1412114e-07	-0.96074915	0	0	-0.46
0	-7.367533e-08	6.909583e-08	-0.9693403	0	0	-0.47999996
0	-3.0383656e-08	2.5816025e-08	-0.9751618	0	0	-0.5
0	-1.3803743e-08	9.491186e-09	-0.97948754	0	0	-0.52000004
0	-6.9404296e-09	1.1389423e-09	-0.98297316	0	0	-0.54
0	-1.8151892e-09	-2.657532e-09	-0.99098194	0	0	-0.56
0	-2.4143203e-09	-2.2778845e-09	-0.99175733	0	0	-0.5799999
0	-2.0435709e-09	-2.2778845e-09	-0.99240154	0	0	-0.6
0	-1.969421e-09	-1.8982371e-09	-0.99294937	0	0	-0.62000006
0	-1.0203024e-09	-1.8982371e-09	-0.9934233	0	0	-0.64
0	-1.364358e-09	-3.4168268e-09	-0.99383837	0	0	-0.66
0	-6.020971e-10	-1.8982371e-09	-0.9942057	0	0	-0.67999995
0	-8.8090063e-10	-1.5185897e-09	-0.99453396	0	0	-0.7
0	-1.2546161e-09	-1.1389423e-09	-0.994829	0	0	-0.72
0	-1.364358e-09	-1.5185897e-09	-0.9950958	0	0	-0.74000007
0	-8.275127e-10	1.8982371e-10	-0.9953382	0	0	-0.75999993
0	-7.622608e-10	-1.8982371e-09	-0.9955597	0	0	-0.78
0	-4.3303533e-10	-5.6947114e-10	-0.9957627	0	0	-0.8
