# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	1.1811253e-09	1.1811253e-09	0.0019094023	0	0	0
0	1.38801e-05	3.627742e-09	0.11814887	4.3633227e-06	0	0.050000012
0	3.1513267e-05	3.3746437e-09	0.24490458	8.726645e-06	0	0.100000024
0	8.5384374e-05	-3.543376e-08	0.3999147	1.3089971e-05	0	0.14999998
0	0.029445648	-0.028677793	0.6765734	1.745329e-05	0	0.20000005
0	0.004448096	-0.0041959626	0.8731701	2.1816611e-05	0	0.25
0	0.00022961102	-3.7904e-06	0.9519822	2.6179941e-05	0	0.29999995
0	-3.585675e-05	8.4315474e-07	0.97489864	3.0543255e-05	0	0.3499999
0	2.0753669e-05	2.1935184e-08	0.9843468	3.490658e-05	0	0.4000001
0	0.000107574764	2.5309828e-09	0.9919947	3.926991e-05	0	0.45000005
0	0.000105811596	2.3622506e-09	0.9956226	4.3633223e-05	0	0.5
0	0.00010374735	2.1935185e-09	0.9961829	4.7996553e-05	0	0.5500001
0	0.000102094215	1.6873218e-09	0.9966245	5.2359883e-05	0	0.5999999
0	0.00010074023	1.0123932e-09	0.99698156	5.6723202e-05	0	0.6500001
0	9.961245e-05	1.0967592e-09	0.99727625	6.108651e-05	0	0.6999998
0	9.865774e-05	1.1811253e-09	0.99752367	6.544985e-05	0	0.75
0	9.784014e-05	1.0967592e-09	0.99773407	6.981316e-05	0	0.8000002
0	9.7131735e-05	7.5929485e-10	0.99791497	7.4176496e-05	0	0.8499999
0	9.651131e-05	1.0123932e-09	0.9980719	7.853983e-05	0	0.9000001
0	9.596531e-05	8.436609e-10	0.99820966	8.290314e-05	0	0.9499998
0	9.547934e-05	6.749287e-10	0.9983311	8.7266446e-05	0	1
0	9.5965195e-05	5.9056265e-10	0.99820966	8.290314e-05	0	0.9499998
0	9.6511576e-05	6.749287e-10	0.998072	7.853983e-05	0	0.9000001
0	9.713138e-05	6.749287e-10	0.99791497	7.4176496e-05	0	0.8499999
0	9.7839904e-05	7.5929485e-10	0.9977339	6.981316e-05	0	0.8000002
0	9.8657765e-05	8.436609e-10	0.99752367	6.544985e-05	0	0.75
0	9.9612196e-05	1.1811253e-09	0.9972764	6.108651e-05	0	0.6999998
0	0.000100740726	1.4342236e-09	0.9969815	5.6723202e-05	0	0.6500001
0	0.00010209432	1.6873218e-09	0.9966245	5.2359883e-05	0	0.5999999
0	0.00010374719	2.3622506e-09	0.9961831	4.7996553e-05	0	0.5500001
0	0.00010581149	2.3622506e-09	0.9956226	4.3633223e-05	0	0.5
0	0.00010845858	3.0371794e-09	0.9948848	3.926991e-05	0	0.45000005
0	0.00011196549	3.3746437e-09	0.9938558	3.490658e-05	0	0.4000001
0	0.00011679981	5.0619655e-09	0.9922534	3.0543255e-05	0	0.3499999
0	0.00012360833	6.9180195e-09	0.98866636	2.6179941e-05	0	0.29999995
0	0.0134416	-2.1405365e-05	0.9259092	2.1816611e-05	0	0.25
0	0.0441326	-9.9765944e-05	0.73778427	1.745329e-05	0	0.20000005
0	-0.021383185	-0.000101748206	0.4618233	1.3089971e-05	0	0.14999998
