# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-1.3655131e-10	-2.4275787e-10	0.000427098	0	0	0
0	1.1166293e-06	1.2137893e-10	0.000899952	8.7266426e-07	0	0.01
0	2.2347608e-06	-2.1241314e-10	0.001382871	1.7453285e-06	0	0.02
0	3.3564008e-06	0	0.0018890182	2.6179937e-06	0	0.029999988
0	4.482304e-06	-2.4275787e-10	0.0024341063	3.490657e-06	0	0.04
0	5.615024e-06	-4.8551574e-10	0.0030385642	4.363324e-06	0	0.049999993
0	6.7553183e-06	-1.2137893e-10	0.003731017	5.235987e-06	0	0.059999976
0	7.904701e-06	-2.4275787e-10	0.0045555644	6.108651e-06	0	0.070000015
0	9.065888e-06	-2.4275787e-10	0.005585109	6.981314e-06	0	0.08
0	1.0239156e-05	-3.0344735e-10	0.006956429	7.853985e-06	0	0.08999998
0	1.14275845e-05	-1.2137893e-10	0.008978639	8.726648e-06	0	0.09999999
0	1.2632286e-05	-4.2482629e-10	0.012572888	9.599313e-06	0	0.10999997
0	1.4570434e-05	3.641368e-10	0.719736	1.0471975e-05	0	0.11999995
0	1.568841e-05	4.8551574e-10	0.76382667	1.1344642e-05	0	0.13000005
0	1.6765996e-05	4.8551574e-10	0.7940626	1.2217303e-05	0	0.14000003
0	1.781685e-05	2.4275787e-10	0.81860864	1.3089971e-05	0	0.15000005
0	1.8857947e-05	9.710315e-10	0.84138566	1.3962628e-05	0	0.16
0	2.0073505e-05	7.404115e-09	0.87192273	1.4835298e-05	0	0.17000003
0	2.0726384e-05	4.8551574e-10	0.9956789	1.570797e-05	0	0.17999996
0	2.1593924e-05	4.8551574e-10	0.9959709	1.6580627e-05	0	0.19000003
0	2.2439579e-05	4.55171e-10	0.9962238	1.7453296e-05	0	0.19999997
0	2.3263256e-05	5.4620525e-10	0.9964487	1.8325958e-05	0	0.21000002
0	2.4066188e-05	5.7655e-10	0.9966544	1.9198626e-05	0	0.21999994
0	2.4849218e-05	5.4620525e-10	0.9968517	2.0071284e-05	0	0.23
0	2.5614681e-05	6.524118e-10	0.99707115	2.094395e-05	0	0.2399999
0	2.6371916e-05	3.3379208e-10	0.99795055	2.1816617e-05	0	0.25
0	2.709781e-05	7.4344597e-10	0.9979837	2.2689284e-05	0	0.2600001
0	2.7807017e-05	2.0482696e-10	0.9980159	2.3561939e-05	0	0.27
0	2.8499848e-05	3.0344735e-10	0.99804723	2.4434605e-05	0	0.28000006
0	2.9176152e-05	4.5137794e-10	0.99807775	2.5307278e-05	0	0.29
0	2.983726e-05	5.4620525e-10	0.99810743	2.6179941e-05	0	0.3000001
0	3.0483388e-05	4.3241247e-10	0.9981363	2.7052596e-05	0	0.31000003
0	3.111504e-05	4.9310195e-10	0.9981644	2.7925256e-05	0	0.32
0	3.173292e-05	3.3379208e-10	0.9981918	2.8797936e-05	0	0.32999995
0	3.2337564e-05	3.793092e-10	0.9982186	2.9670597e-05	0	0.34000003
0	3.292887e-05	4.0586082e-10	0.9982446	3.054325e-05	0	0.35000002
0	3.350742e-05	3.793092e-10	0.99827	3.141594e-05	0	0.35999992
0	3.407398e-05	3.8689538e-10	0.99829465	3.22886e-05	0	0.36999995
0	3.4628858e-05	3.9448156e-10	0.9983188	3.3161254e-05	0	0.38000005
0	3.5172045e-05	3.1861971e-10	0.99834234	3.4033914e-05	0	0.39000008
0	3.570415e-05	2.7310262e-10	0.9983652	3.4906592e-05	0	0.39999995
0	3.6225498e-05	3.6224027e-10	0.9983878	3.5779252e-05	0	0.4099999
0	3.673649e-05	3.5655062e-10	0.99840957	3.6651916e-05	0	0.42000005
0	3.7236743e-05	3.9448156e-10	0.9984311	3.7524576e-05	0	0.43000007
0	3.7727987e-05	4.8551574e-10	0.99845195	3.839725e-05	0	0.43999988
0	3.820949e-05	4.703434e-10	0.9984724	3.926991e-05	0	0.44999993
0	3.8681348e-05	3.262059e-10	0.99849236	4.0142564e-05	0	0.46
0	3.9144383e-05	3.6603337e-10	0.99851185	4.1015228e-05	0	0.47
0	3.9599e-05	4.703434e-10	0.998531	4.18879e-05	0	0.4799998
0	4.0044622e-05	4.3999865e-10	0.9985496	4.2760556e-05	0	0.48999983
0	4.0481893e-05	3.1861971e-10	0.9985679	4.3633234e-05	0	0.5
0	4.0911455e-05	3.1861971e-10	0.99858576	4.4505916e-05	0	0.51000017
0	4.133339e-05	2.7310262e-10	0.9986033	4.537857e-05	0	0.5200002
0	4.17473e-05	2.6172334e-10	0.9986203	4.6251225e-05	0	0.5299998
0	4.2153955e-05	2.9965425e-10	0.99863714	4.7123878e-05	0	0.54
0	4.255321e-05	2.351717e-10	0.9986536	4.7996542e-05	0	0.55000013
0	4.2945994e-05	2.4275787e-10	0.99866956	4.8869213e-05	0	0.5600002
0	4.3331267e-05	3.8689538e-10	0.99868536	4.9741902e-05	0	0.56999993
0	4.3710294e-05	1.9724078e-10	0.9987008	5.0614555e-05	0	0.58
0	4.4082753e-05	3.641368e-10	0.99871594	5.148723e-05	0	0.59000015
0	4.4448625e-05	1.820684e-10	0.9987308	5.2359883e-05	0	0.6000002
0	4.480909e-05	3.9448156e-10	0.99874526	5.323254e-05	0	0.61
0	4.516247e-05	2.0103387e-10	0.99875957	5.4105192e-05	0	0.6200001
0	4.551129e-05	2.7310262e-10	0.9987735	5.4977863e-05	0	0.63
0	4.585328e-05	2.5793023e-10	0.9987873	5.5850513e-05	0	0.64
0	4.619011e-05	2.351717e-10	0.99880075	5.672322e-05	0	0.64999986
0	4.6521567e-05	2.5034405e-10	0.99881387	5.7595873e-05	0	0.6599999
