# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-2.2470093e-05	2.2446566e-05	0.000118636366	0	0	0
0	-0.00035843105	0.0003676759	0.07161155	8.726646e-06	0	0.099999964
0	-0.0010335321	0.0010534106	0.16223978	1.7453294e-05	0	0.19999993
0	0.00012624044	-8.288966e-05	0.65417624	2.6179941e-05	0	0.30000013
0	5.5516357e-05	-2.3222503e-06	0.96344763	3.4906585e-05	0	0.39999986
0	5.866035e-05	8.838845e-08	0.98590285	4.3633245e-05	0	0.5
0	6.26645e-05	1.1092025e-10	0.99791497	5.2359883e-05	0	0.60000026
0	6.529603e-05	4.7965514e-11	0.99823207	6.108652e-05	0	0.7000002
0	6.742012e-05	1.2590948e-10	0.99847513	6.981318e-05	0	0.7999997
0	6.742011e-05	1.2590948e-10	0.99847513	6.981317e-05	0	0.7999997
0	6.5296e-05	3.2976292e-11	0.99823207	6.108652e-05	0	0.7000002
0	6.266462e-05	4.1969823e-11	0.99791497	5.2359886e-05	0	0.60000026
0	5.9319213e-05	1.618836e-10	0.9974866	4.363324e-05	0	0.5
0	5.492494e-05	2.69806e-10	0.9968762	3.4906585e-05	0	0.39999986
0	4.889634e-05	4.556724e-10	0.9958626	2.6179941e-05	0	0.30000013
0	0.0005849668	0.00016023872	0.19278412	1.7453294e-05	0	0.19999993
0	0.00041460604	0.00023477085	0.09422234	8.726647e-06	0	0.099999964
0	0.000326264	0.0003215628	0.016556099	1.21106496e-20	0	1.3877788e-16
0	0.00032749726	0.0004389635	-0.059652057	-8.726647e-06	0	-0.099999964
0	-0.0004466669	0.00046700332	-0.16883269	-1.7453292e-05	0	-0.19999993
0	-0.0010928184	0.0001416572	-0.6032355	-2.6179943e-05	0	-0.30000013
0	-5.400517e-05	2.1469364e-07	-0.9735087	-3.4906585e-05	0	-0.39999986
0	-5.8876805e-05	3.8852065e-08	-0.9894193	-4.3633245e-05	0	-0.5
0	-6.266463e-05	-1.3790086e-10	-0.9979151	-5.2359883e-05	0	-0.60000026
0	-6.529596e-05	-5.3961204e-11	-0.99823207	-6.108652e-05	0	-0.7000002
0	-6.742006e-05	-2.9978446e-12	-0.99847513	-6.981317e-05	0	-0.7999997
0	-6.74201e-05	-2.9978447e-11	-0.99847513	-6.981317e-05	0	-0.7999997
0	-6.529596e-05	-1.5289008e-10	-0.99823207	-6.108652e-05	0	-0.7000002
0	-6.266459e-05	-2.3383187e-10	-0.9979151	-5.2359883e-05	0	-0.60000026
0	-5.9319147e-05	-2.9978445e-10	-0.9974866	-4.363324e-05	0	-0.5
0	-5.492495e-05	-3.357586e-10	-0.9968762	-3.490659e-05	0	-0.39999986
0	-4.8896483e-05	-3.6011608e-10	-0.9958626	-2.6179941e-05	0	-0.30000013
0	-2.1458403e-05	9.823337e-08	-0.1684328	-1.7453292e-05	0	-0.19999993
0	-9.714887e-06	3.271248e-08	-0.075359285	-8.726646e-06	0	-0.099999964
0	9.593103e-11	2.8779307e-10	0.000101660786	-1.21106496e-20	0	-1.3877788e-16
0	9.806789e-06	-1.3041823e-07	0.07495178	8.726646e-06	0	0.099999964
0	2.100827e-05	-3.566236e-07	0.16806401	1.7453294e-05	0	0.19999993
0	-0.0002105073	-0.00023904169	0.61757386	2.6179941e-05	0	0.30000013
0	5.3797437e-05	-5.2426305e-08	0.9765343	3.490659e-05	0	0.39999986
0	5.888357e-05	-1.5753299e-08	0.9904588	4.363324e-05	0	0.5
0	6.2664614e-05	1.7987067e-10	0.9979151	5.2359883e-05	0	0.60000026
0	6.529594e-05	-2.3982757e-11	0.99823207	6.108652e-05	0	0.7000002
0	6.742e-05	7.194827e-11	0.99847513	6.981317e-05	0	0.7999997
