# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.0060737464	-6.191541e-17	-1.25712e-16	7.6893406e-17	5.760001e-18	0	-1.8856798e-17
1.0000000000000124e-11	1.3048236e-09	-2.7310262e-10	0.0008560441	0.011864047	-6.897065e-17	-1.2165443e-16	7.4669653e-17	-3.2173901e-18	0	-1.8768487e-17
2.0009999999999403e-11	3.14068e-09	-8.799973e-10	0.00139688	0.01208098	-6.947784e-17	-1.2067304e-16	7.411944e-17	-4.0912217e-18	0	-1.8833015e-17
3.000999999999824e-11	2.7158538e-09	-7.1310124e-10	0.0012663896	0.0114549305	-6.9620206e-17	-1.21164e-16	7.440466e-17	-4.013606e-18	0	-1.8847267e-17
4.000000000000001e-11	-5.7655e-10	4.703434e-10	0.00083599525	0.010674455	-6.969089e-17	-1.2191872e-16	7.482948e-17	-3.7569886e-18	0	-1.8844667e-17
5.0000000000001785e-11	-2.7006815e-09	2.0558557e-09	0.00059221755	0.01039106	-6.973043e-17	-1.2222812e-16	7.500125e-17	-3.6539843e-18	0	-1.8849575e-17
6.00000000000024e-11	-2.14689e-09	1.8434426e-09	0.0006559369	0.01057889	-6.975522e-17	-1.2203167e-16	7.4884555e-17	-3.757481e-18	0	-1.8850624e-17
7.000999999999771e-11	3.793092e-10	7.586184e-10	0.0008248488	0.010790804	-6.9776635e-17	-1.2169555e-16	7.46872e-17	-3.918199e-18	0	-1.8850083e-17
8.000999999999302e-11	2.313786e-09	-1.5172368e-10	0.0009167182	0.010916965	-6.9795204e-17	-1.2147585e-16	7.455587e-17	-4.024534e-18	0	-1.8850693e-17
9.000999999998834e-11	2.1772346e-09	-6.068947e-11	0.0008944369	0.010986052	-6.9811635e-17	-1.2140045e-16	7.450723e-17	-4.0674162e-18	0	-1.8851001e-17
1.0000999999998365e-10	1.0013762e-09	6.979289e-10	0.0008203042	0.011080198	-6.982683e-17	-1.2137062e-16	7.448494e-17	-4.089919e-18	0	-1.8851231e-17
1.1000999999997896e-10	3.641368e-10	1.1531e-09	0.0007621844	0.011229038	-6.984086e-17	-1.2130553e-16	7.444285e-17	-4.1266506e-18	0	-1.8851529e-17
1.2000999999997891e-10	7.7379075e-10	1.2137894e-09	0.00074074144	0.011404607	-6.98539e-17	-1.2119928e-16	7.4377414e-17	-4.180286e-18	0	-1.8851742e-17
1.3000999999998715e-10	1.1834447e-09	1.3048236e-09	0.00074138254	0.011562102	-6.9866156e-17	-1.210834e-16	7.4306594e-17	-4.2374506e-18	0	-1.88519e-17
1.400099999999954e-10	1.6689604e-09	1.0317209e-09	0.0007455835	0.011706032	-6.987769e-17	-1.2098479e-16	7.424591e-17	-4.2867465e-18	0	-1.8852067e-17
1.5000000000000362e-10	1.2593064e-09	1.2744789e-09	0.00074694166	0.011830737	-6.988856e-17	-1.2090638e-16	7.419698e-17	-4.326936e-18	0	-1.8852227e-17
