# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.0060737464	-6.191541e-17	-1.2571201e-16	7.68934e-17	5.760001e-18	0	-1.88568e-17
1.0000000000000124e-11	4.8551574e-10	-6.6758415e-10	0.0008560441	0.011864046	-6.8970644e-17	-1.2165443e-16	7.466966e-17	-3.2173901e-18	0	-1.8768487e-17
2.0009999999999403e-11	1.1531e-09	-7.889631e-10	0.0013968798	0.012080968	-6.947784e-17	-1.2067304e-16	7.411944e-17	-4.0912217e-18	0	-1.8833015e-17
3.000999999999824e-11	1.1834447e-09	-7.282736e-10	0.0012663907	0.011454936	-6.962021e-17	-1.21164e-16	7.440466e-17	-4.0136065e-18	0	-1.8847266e-17
4.000000000000001e-11	-6.3723943e-10	2.7310262e-10	0.00083599635	0.01067444	-6.969089e-17	-1.2191872e-16	7.482949e-17	-3.7569886e-18	0	-1.8844667e-17
5.0000000000001785e-11	-1.5930985e-09	1.2289617e-09	0.00059221743	0.010390938	-6.9730426e-17	-1.2222811e-16	7.500125e-17	-3.6539843e-18	0	-1.8849575e-17
6.00000000000024e-11	-1.0772381e-09	8.1930784e-10	0.0006559366	0.010578875	-6.975523e-17	-1.2203168e-16	7.488456e-17	-3.757481e-18	0	-1.8850624e-17
7.000999999999771e-11	-1.5172367e-11	3.6603337e-10	0.0008248481	0.010790794	-6.9776635e-17	-1.2169557e-16	7.46872e-17	-3.918199e-18	0	-1.8850083e-17
8.000999999999302e-11	7.4344597e-10	-9.10342e-11	0.00091671833	0.010916996	-6.979522e-17	-1.2147585e-16	7.4555886e-17	-4.0245335e-18	0	-1.8850692e-17
9.000999999998834e-11	7.7379075e-10	2.275855e-10	0.0008944363	0.010986043	-6.9811655e-17	-1.2140045e-16	7.450723e-17	-4.0674162e-18	0	-1.8851001e-17
1.0000999999998365e-10	3.9448156e-10	3.3379208e-10	0.0008203042	0.0110802185	-6.982683e-17	-1.2137062e-16	7.448495e-17	-4.089919e-18	0	-1.885123e-17
1.1000999999997896e-10	7.586184e-11	6.6758415e-10	0.0007621848	0.011229036	-6.984086e-17	-1.2130553e-16	7.444286e-17	-4.1266502e-18	0	-1.8851529e-17
1.2000999999997891e-10	1.6689604e-10	1.0165486e-09	0.0007407413	0.011404656	-6.9853894e-17	-1.2119928e-16	7.437742e-17	-4.1802863e-18	0	-1.8851742e-17
1.3000999999998715e-10	5.7655e-10	9.406868e-10	0.0007413827	0.011562072	-6.9866156e-17	-1.210834e-16	7.4306594e-17	-4.2374502e-18	0	-1.88519e-17
1.400099999999954e-10	8.4965257e-10	9.710315e-10	0.0007455831	0.011705969	-6.9877684e-17	-1.2098479e-16	7.4245925e-17	-4.2867465e-18	0	-1.885207e-17
1.5000000000000362e-10	7.586184e-10	1.1531e-09	0.00074694195	0.011830941	-6.988856e-17	-1.2090638e-16	7.419698e-17	-4.326936e-18	0	-1.8852227e-17
1.6000000000001186e-10	2.4275787e-10	6.3723943e-10	0.0007489615	0.011958189	-6.9898866e-17	-1.2083473e-16	7.415205e-17	-4.363813e-18	0	-1.8852373e-17
1.700000000000201e-10	3.3379208e-10	9.10342e-11	0.0007543984	0.012083662	-6.990866e-17	-1.2076089e-16	7.410602e-17	-4.4012965e-18	0	-1.88525e-17
1.8000000000002833e-10	1.0013762e-09	6.3723943e-10	0.00076110614	0.0122062	-6.9918024e-17	-1.2068524e-16	7.405909e-17	-4.439285e-18	0	-1.8852608e-17
1.9000000000003657e-10	1.2896512e-09	1.4868919e-09	0.0007652524	0.012326452	-6.9927e-17	-1.2061103e-16	7.401312e-17	-4.4763818e-18	0	-1.8852699e-17
2.000000000000448e-10	1.3048236e-09	1.8813735e-09	0.0007650527	0.012440626	-6.9935606e-17	-1.2054012e-16	7.39691e-17	-4.5118194e-18	0	-1.8852783e-17
2.1000000000005304e-10	1.4717196e-09	1.1227552e-09	0.00076136296	0.012552648	-6.99439e-17	-1.2047269e-16	7.392719e-17	-4.5455647e-18	0	-1.8852856e-17
2.2000000000006128e-10	1.0013762e-09	4.2482629e-10	0.00075646123	0.012662175	-6.995191e-17	-1.2040784e-16	7.388687e-17	-4.5780208e-18	0	-1.8852925e-17
2.3000000000006952e-10	1.3655131e-10	2.1241314e-10	0.00075237826	0.012768479	-6.995967e-17	-1.2034443e-16	7.384745e-17	-4.609701e-18	0	-1.8852985e-17
2.4000000000005925e-10	1.3655131e-10	-1.2137893e-10	0.00074986106	0.012873454	-6.996718e-17	-1.2028197e-16	7.3808644e-17	-4.6408166e-18	0	-1.885304e-17
2.5000000000004163e-10	6.068947e-10	1.0620657e-09	0.0007488507	0.012975777	-6.9974484e-17	-1.2022063e-16	7.377055e-17	-4.6713143e-18	0	-1.8853086e-17
2.60000000000024e-10	9.406868e-10	7.889631e-10	0.00074889604	0.013075164	-6.9981584e-17	-1.2016078e-16	7.373337e-17	-4.7010428e-18	0	-1.885313e-17
2.700000000000064e-10	1.2137894e-09	6.068947e-11	0.0007494462	0.013174002	-6.99885e-17	-1.2010244e-16	7.369714e-17	-4.7300185e-18	0	-1.8853172e-17
2.800099999999888e-10	1.2972374e-09	-3.1861971e-10	0.00075006636	0.013271305	-6.999525e-17	-1.2004527e-16	7.366161e-17	-4.7583887e-18	0	-1.8853208e-17
2.9000999999997117e-10	2.5034406e-09	-2.067235e-10	0.00075046567	0.0133649	-7.000184e-17	-1.1998923e-16	7.36268e-17	-4.786171e-18	0	-1.8853241e-17
3.0000999999995355e-10	2.184821e-09	7.8517e-10	0.00075052335	0.0134583255	-7.000828e-17	-1.1993417e-16	7.3592605e-17	-4.8134326e-18	0	-1.8853274e-17
