# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.002372557	-2.5773374e-18	-3.2180799e-16	3.6340583e-16	4.096001e-18	0	-4.82712e-17
1.0000000000000124e-11	-2.844949e-10	2.6449135e-10	0.0015401177	0.010172065	-1.3700121e-17	-3.1317963e-16	3.5465423e-16	-7.4333965e-18	0	-4.774131e-17
2.0009999999999403e-11	-1.2328112e-09	1.2209572e-09	0.004814511	0.013900975	-1.7253818e-17	-3.0121254e-16	3.4156188e-16	-1.05838595e-17	0	-4.7019295e-17
3.000999999999824e-11	-2.4419144e-09	2.880511e-09	0.008860882	0.018089369	-2.1274836e-17	-2.8933322e-16	3.2773846e-16	-1.3558638e-17	0	-4.6121473e-17
4.000000000000001e-11	-3.651018e-09	4.3385473e-09	0.011994846	0.02214566	-2.6251788e-17	-2.8161373e-16	3.182981e-16	-1.7428851e-17	0	-4.5507305e-17
5.0000000000001785e-11	-4.2200075e-09	5.689898e-09	0.013405198	0.025439175	-3.1502955e-17	-2.761112e-16	3.1188955e-16	-2.1928376e-17	0	-4.5352943e-17
6.00000000000024e-11	-4.694166e-09	7.681362e-09	0.013330766	0.028184423	-3.6491146e-17	-2.6991335e-16	3.0510005e-16	-2.6245177e-17	0	-4.5432673e-17
7.000999999999771e-11	-5.4054032e-09	1.0194401e-08	0.012383106	0.03067297	-4.1107604e-17	-2.6187535e-16	2.9638712e-16	-3.0073713e-17	0	-4.5545656e-17
8.000999999999302e-11	-7.19535e-09	1.3560924e-08	0.011206959	0.033143986	-4.5453495e-17	-2.5183078e-16	2.8536416e-16	-3.3401054e-17	0	-4.5585854e-17
9.000999999998834e-11	-9.246084e-09	1.6482923e-08	0.010409334	0.035840914	-4.978003e-17	-2.4060175e-16	2.72678e-16	-3.6348536e-17	0	-4.550775e-17
1.0000999999998365e-10	-1.06685585e-08	1.7157117e-08	0.010393204	0.038672026	-5.4336644e-17	-2.3031625e-16	2.605612e-16	-3.9218807e-17	0	-4.5362783e-17
1.1000999999997896e-10	-9.815074e-09	1.5007107e-08	0.0109017175	0.04108562	-5.905716e-17	-2.222504e-16	2.5086898e-16	-4.237647e-17	0	-4.529927e-17
1.2000999999997891e-10	-9.2935e-09	1.3280874e-08	0.011495324	0.042811498	-6.362043e-17	-2.154698e-16	2.4291174e-16	-4.5713015e-17	0	-4.534936e-17
1.3000999999998715e-10	-9.8624895e-09	1.2677804e-08	0.012062397	0.04392972	-6.782521e-17	-2.0895417e-16	2.3546883e-16	-4.890498e-17	0	-4.54349e-17
1.400099999999954e-10	-1.0194401e-08	1.3240867e-08	0.012615991	0.044688478	-7.163242e-17	-2.0221617e-16	2.2787235e-16	-5.1775663e-17	0	-4.5512933e-17
1.5000000000000362e-10	-1.0526311e-08	1.3904688e-08	0.013202701	0.045271672	-7.506695e-17	-1.9503169e-16	2.1981639e-16	-5.427171e-17	0	-4.5579945e-17
1.6000000000001186e-10	-1.0976762e-08	1.4722611e-08	0.013830306	0.04554356	-7.8198154e-17	-1.8731351e-16	2.1118265e-16	-5.6453674e-17	0	-4.5613618e-17
1.700000000000201e-10	-1.1545751e-08	1.6325117e-08	0.014474812	0.045962926	-8.1095186e-17	-1.7889113e-16	2.0176989e-16	-5.831295e-17	0	-4.566099e-17
1.8000000000002833e-10	-1.1569459e-08	1.7268247e-08	0.015234418	0.046550985	-8.378564e-17	-1.6980881e-16	1.9163218e-16	-5.987754e-17	0	-4.5731448e-17
1.9000000000003657e-10	-1.1356088e-08	1.8006157e-08	0.016026616	0.046753246	-8.6338095e-17	-1.60369e-16	1.8112091e-16	-6.137088e-17	0	-4.5719143e-17
2.000000000000448e-10	-1.1190132e-08	1.8800371e-08	0.016721005	0.04723136	-8.8849455e-17	-1.5004219e-16	1.6961618e-16	-6.2693594e-17	0	-4.572984e-17
2.1000000000005304e-10	-1.0289233e-08	1.9867228e-08	0.017415158	0.04825116	-9.1302495e-17	-1.3866292e-16	1.5690614e-16	-6.371711e-17	0	-4.5828645e-17
2.2000000000006128e-10	-9.151252e-09	2.0814062e-08	0.017980287	0.04898363	-9.372458e-17	-1.2727972e-16	1.4416793e-16	-6.482286e-17	0	-4.5789923e-17
2.3000000000006952e-10	-7.467991e-09	2.150011e-08	0.018273164	0.049941506	-9.628037e-17	-1.1568667e-16	1.3107202e-16	-6.601762e-17	0	-4.5648088e-17
2.4000000000005925e-10	-5.6187743e-09	1.9120428e-08	0.0174656	0.051727593	-9.899259e-17	-1.04054537e-16	1.1774466e-16	-6.695044e-17	0	-4.5732272e-17
2.5000000000004163e-10	-2.584162e-09	1.2422944e-08	0.013637998	0.054098703	-1.0164344e-16	-9.575998e-17	1.08055106e-16	-6.779057e-17	0	-4.6147996e-17
2.60000000000024e-10	-5.689898e-10	2.7560443e-09	0.0070459954	0.056404483	-1.0404689e-16	-9.320682e-17	1.0484537e-16	-6.902835e-17	0	-4.6657083e-17
2.700000000000064e-10	2.3707909e-11	-6.970125e-09	0.00036079605	0.05812427	-1.0618038e-16	-9.496256e-17	1.06610485e-16	-7.079244e-17	0	-4.7035875e-17
2.800099999999888e-10	6.164056e-10	-1.3033422e-08	-0.0045052166	0.05922143	-1.08061545e-16	-9.8526356e-17	1.1052743e-16	-7.281236e-17	0	-4.725025e-17
2.9000999999997117e-10	4.7415816e-10	-1.5801321e-08	-0.007310365	0.059783403	-1.09686995e-16	-1.0218976e-16	1.146166e-16	-7.476154e-17	0	-4.7352262e-17
3.0000999999995355e-10	-1.1853954e-10	-1.5593876e-08	-0.008576252	0.059966177	-1.1106313e-16	-1.0513929e-16	1.179308e-16	-7.645906e-17	0	-4.7395573e-17
3.1000999999993594e-10	-1.1616875e-09	-1.407657e-08	-0.008675151	0.06003299	-1.1221261e-16	-1.07456155e-16	1.205636e-16	-7.790516e-17	0	-4.7414913e-17
3.2000999999991833e-10	-3.0346123e-09	-1.2662986e-08	-0.007728191	0.06018723	-1.131712e-16	-1.0983051e-16	1.2329782e-16	-7.921879e-17	0	-4.741972e-17
3.300099999999007e-10	-5.21574e-09	-1.1753196e-08	-0.0062066065	0.06053173	-1.1398528e-16	-1.1260963e-16	1.2649655e-16	-8.0476766e-17	0	-4.7395447e-17
3.400099999998831e-10	-7.1479342e-09	-1.3110474e-08	-0.005023658	0.061136603	-1.1469754e-16	-1.1523263e-16	1.2948335e-16	-8.1624734e-17	0	-4.7323512e-17
3.500099999998655e-10	-7.894734e-09	-1.8124696e-08	-0.0046049836	0.061987445	-1.1533038e-16	-1.1700102e-16	1.3148125e-16	-8.261003e-17	0	-4.7200577e-17
3.600099999998479e-10	-8.060689e-09	-2.5414877e-08	-0.0044462965	0.06301947	-1.1589291e-16	-1.1790734e-16	1.325243e-16	-8.3471444e-17	0	-4.703842e-17
3.7000999999983027e-10	-6.3063035e-09	-3.6984336e-08	-0.0038470302	0.06410718	-1.1639371e-16	-1.1835777e-16	1.3307507e-16	-8.4258596e-17	0	-4.6852423e-17
3.8000999999981266e-10	-3.7695576e-09	-5.260785e-08	-0.0027244266	0.065181844	-1.1684531e-16	-1.186344e-16	1.3343219e-16	-8.498206e-17	0	-4.666102e-17
3.9000999999979505e-10	8.5348467e-10	-7.183496e-08	-0.0016415048	0.066201374	-1.17262e-16	-1.1883927e-16	1.337034e-16	-8.563929e-17	0	-4.648685e-17
4.0000999999977743e-10	6.555237e-09	-9.3883315e-08	-0.0012141914	0.06716083	-1.1765673e-16	-1.1905085e-16	1.3398386e-16	-8.6241215e-17	0	-4.6348518e-17
4.100099999997598e-10	1.2719293e-08	-1.1737785e-07	-0.0016099847	0.06810483	-1.1803973e-16	-1.1936719e-16	1.3439284e-16	-8.681562e-17	0	-4.6249772e-17
4.200099999997422e-10	1.688003e-08	-1.3980554e-07	-0.0025474841	0.069112375	-1.1842079e-16	-1.1986036e-16	1.3501623e-16	-8.740035e-17	0	-4.6176306e-17
4.300099999997246e-10	2.0009475e-08	-1.5836882e-07	-0.0035973007	0.0702772	-1.1881155e-16	-1.2054862e-16	1.3587357e-16	-8.8034986e-17	0	-4.6101538e-17
4.40009999999707e-10	2.3873863e-08	-1.7034132e-07	-0.004441911	0.0717404	-1.1922599e-16	-1.2140142e-16	1.3692392e-16	-8.875357e-17	0	-4.5994918e-17
4.5000999999968937e-10	2.9065896e-08	-1.7548594e-07	-0.004964617	0.0735976	-1.196798e-16	-1.2236084e-16	1.3809104e-16	-8.9581986e-17	0	-4.5828006e-17
4.6000999999967176e-10	3.978187e-08	-1.7349447e-07	-0.005194827	0.07584441	-1.2019219e-16	-1.2335031e-16	1.3927731e-16	-9.0539464e-17	0	-4.5579713e-17
4.700099999996541e-10	5.9530556e-08	-1.6676142e-07	-0.005175787	0.07846167	-1.207852e-16	-1.2427429e-16	1.403695e-16	-9.1638456e-17	0	-4.5241965e-17
4.800099999996365e-10	8.587004e-08	-1.5912748e-07	-0.0048454665	0.081439435	-1.2147667e-16	-1.2506713e-16	1.4129252e-16	-9.288071e-17	0	-4.4821374e-17
4.900099999996189e-10	1.1495965e-07	-1.5934086e-07	-0.0040638307	0.084752426	-1.2227451e-16	-1.2577055e-16	1.42085e-16	-9.4257e-17	0	-4.4331957e-17
5.000099999996013e-10	1.4642004e-07	-1.7695582e-07	-0.0027365105	0.08834051	-1.2318885e-16	-1.2652461e-16	1.4288817e-16	-9.5766505e-17	0	-4.378592e-17
5.100099999995837e-10	1.8089133e-07	-2.179468e-07	-0.0008864586	0.09213164	-1.2424707e-16	-1.2746997e-16	1.4385581e-16	-9.743871e-17	0	-4.3194197e-17
5.200099999995661e-10	2.1289702e-07	-2.7510657e-07	0.0012513882	0.09606871	-1.2549252e-16	-1.286931e-16	1.4510069e-16	-9.933361e-17	0	-4.2566516e-17
5.300099999995485e-10	2.3290649e-07	-3.3508758e-07	0.003199793	0.10017217	-1.2695673e-16	-1.3027052e-16	1.4672769e-16	-1.0150115e-16	0	-4.191275e-17
5.400099999995309e-10	2.335229e-07	-3.9222363e-07	0.0043861065	0.104422174	-1.2861473e-16	-1.3221958e-16	1.487686e-16	-1.0390376e-16	0	-4.1259987e-17
5.500099999995133e-10	2.1519668e-07	-4.584398e-07	0.004367866	0.10879094	-1.3038387e-16	-1.3432541e-16	1.5099008e-16	-1.06412286e-16	0	-4.0636253e-17
5.600099999994956e-10	1.6894255e-07	-5.3174466e-07	0.0033451214	0.11310968	-1.3219221e-16	-1.3653912e-16	1.5335003e-16	-1.08920225e-16	0	-4.0082916e-17
5.70009999999478e-10	9.9715464e-08	-6.0526287e-07	0.002155105	0.11730601	-1.3400663e-16	-1.3881296e-16	1.5580523e-16	-1.1133369e-16	0	-3.966518e-17
5.800099999994604e-10	6.3537193e-09	-6.585583e-07	0.0015133872	0.121413395	-1.3580883e-16	-1.4097679e-16	1.5817423e-16	-1.1358834e-16	0	-3.9417955e-17
5.900099999994428e-10	-1.11118965e-07	-6.3745824e-07	0.0010835914	0.1252994	-1.3760233e-16	-1.4296659e-16	1.6038002e-16	-1.1566754e-16	0	-3.9348257e-17
6.000099999994252e-10	-2.1114263e-07	-5.014697e-07	0.0004063534	0.1290859	-1.3940137e-16	-1.4489311e-16	1.6251825e-16	-1.1757987e-16	0	-3.9446635e-17
6.100099999994076e-10	-2.4935977e-07	-3.4765276e-07	0.00014312236	0.13259467	-1.4120395e-16	-1.4675816e-16	1.6459363e-16	-1.1937714e-16	0	-3.9662288e-17
6.2000999999939e-10	-2.3252717e-07	-3.252488e-07	0.0008238004	0.13561162	-1.4296294e-16	-1.4830575e-16	1.6632203e-16	-1.2099394e-16	0	-3.998528e-17
6.300099999993724e-10	-1.8008527e-07	-3.981506e-07	0.0016847898	0.13807447	-1.4464189e-16	-1.4954519e-16	1.6773654e-16	-1.2236021e-16	0	-4.047302e-17
6.400099999993547e-10	-1.5405399e-07	-3.6997378e-07	0.0020887991	0.14017199	-1.4623357e-16	-1.50673e-16	1.6903526e-16	-1.2350258e-16	0	-4.109323e-17
6.500099999993371e-10	-2.4905157e-07	-1.3083209e-07	0.0022348734	0.14198522	-1.477441e-16	-1.5170993e-16	1.7021004e-16	-1.2448271e-16	0	-4.1761514e-17
6.600099999993195e-10	-4.1613305e-07	1.3585817e-07	0.0024074705	0.14353107	-1.4917312e-16	-1.5253038e-16	1.711227e-16	-1.2538753e-16	0	-4.23779e-17
