# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1.0000009999939495e-08	-0.003602272	-0.044199083	-0.009228514	0	0	0
1.5000019999878992e-08	-0.033784743	-0.02725412	0.07352055	0	0	0.20000002
2.0000029999818487e-08	-0.015534762	-0.03726953	0.8099539	0	0	0.40000004
2.5000039999757982e-08	0.011096369	0.03149466	0.8759733	0	0	0.59999996
3.0000039999762894e-08	-0.04830035	0.0066569922	0.89290756	0	0	0.8000001
3.500004000135675e-08	-0.015174581	0.0056015826	0.8887193	0	0	1
4.0000040002950607e-08	0.01951324	0.0015747957	0.89072126	0	0	1
4.500004000454446e-08	0.00263587	-0.0014946685	0.9116559	0	0	2
5.000004000613832e-08	-0.0033669192	-0.0077523286	0.91956425	0	0	3
5.5000040007732176e-08	0.0046520266	-0.0020981561	0.9263559	0	0	4
6.000004000906438e-08	-0.002006481	-0.0004298407	0.9244743	0	0	4
6.500005000734952e-08	-0.014267418	0.0056207585	0.9235339	0	0	3
7.000006000563465e-08	-0.0019977004	0.0035298117	0.91235447	0	0	2
7.500007000391978e-08	-0.007029979	-0.04454991	0.8913573	0	0	1
8.000008000220491e-08	-0.012534319	-0.005821102	0.8940842	0	0	1
8.500009000049004e-08	-0.022352362	-0.015652651	0.8898749	0	0	0.8000001
9.000009999877517e-08	0.020297406	0.024588415	0.8778121	0	0	0.59999996
9.50001099970603e-08	-0.04689446	0.005904385	0.85335404	0	0	0.40000004
1.0000011999534543e-07	0.026001545	-0.013970058	0.12032508	0	0	0.20000002
1.0500012999363056e-07	0.021447605	-0.020555774	-0.020403197	0	0	5.551115e-17
1.1000013999191569e-07	0.00695628	-0.027544107	-0.116510145	0	0	-0.20000002
1.1500014999020082e-07	-0.02259184	0.013702139	-0.86316717	0	0	-0.40000004
1.2000015998953267e-07	0.00010133079	0.0010124373	-0.8683543	0	0	-0.59999996
1.2500015999443525e-07	0.011731351	0.02834824	-0.88027865	0	0	-0.8000001
1.3000015999933783e-07	0.024666606	-0.001044564	-0.89186287	0	0	-1
1.350001600042404e-07	-0.0081038065	0.00022800393	-0.92841935	0	0	-4
1.40000160009143e-07	0.013026218	-0.009422159	-0.92384785	0	0	-3
1.4500016001404557e-07	-0.016072754	0.017557997	-0.9117524	0	0	-2
1.5000016001894814e-07	0.003810811	0.0126840435	-0.8950527	0	0	-1
1.5500016002385072e-07	0.027586296	0.0042602727	-0.8879321	0	0	-1
1.600001600287533e-07	0.0106273275	0.013042051	-0.8876224	0	0	-0.8000001
1.6500016003365588e-07	0.026092159	-0.021906164	-0.87691927	0	0	-0.59999996
1.7000016003855846e-07	-0.026806531	-0.013648167	-0.869889	0	0	-0.40000004
1.7500016004346104e-07	-0.029987363	0.0011679595	-0.15853724	0	0	-0.20000002
1.8000016004836362e-07	-0.012733131	-0.044013385	-0.0015258789	0	0	-5.551115e-17
1.850001600532662e-07	-0.045763686	-0.0045854514	0.070739575	0	0	0.20000002
1.9000016005816878e-07	-0.018492486	0.021824013	0.85171497	0	0	0.40000004
1.9500016006307135e-07	0.024846058	-0.027135486	0.8756457	0	0	0.59999996
2.0000016006797393e-07	-0.005095072	9.7412085e-05	0.8850284	0	0	0.8000001
2.050001600728765e-07	-0.020468907	-0.010959214	0.8900984	0	0	1
2.050001600728765e-07	-1.1462432e-09	2.4131436e-10	0.99394506	0	0	1
2.050001600728765e-07	-6.032859e-11	-2.4131436e-10	0.99722564	0	0	2
2.050001600728765e-07	-1.3573932e-10	-6.032859e-11	0.99834037	0	0	3
2.050001600728765e-07	1.5082147e-11	-3.0164295e-11	0.9988708	0	0	4
