,D,Ms,DMI,Sk
0,160.0,600.0,0.5,-0.006134755734609597
1,160.0,650.0,0.5,-0.007111339825529467
2,160.0,700.0,0.5,-0.008523410882259252
3,160.0,750.0,0.5,-0.010737511637991758
4,160.0,800.0,0.5,-0.014737297941916253
5,160.0,850.0,0.5,0.8960151854477705
6,160.0,900.0,0.5,0.9235205334263409
7,160.0,950.0,0.5,0.6222795697350797
8,160.0,1000.0,0.5,0.5532815520570081
9,160.0,1050.0,0.5,0.5176109848811141
10,240.0,600.0,0.5,-0.00645860987264172
11,240.0,650.0,0.5,-0.007423409343718296
12,240.0,700.0,0.5,-0.008811902199263913
13,240.0,750.0,0.5,-0.01097886658494406
14,240.0,800.0,0.5,-0.01487800819143575
15,240.0,850.0,0.5,0.9121073732114084
16,240.0,900.0,0.5,0.9700648850623806
17,240.0,950.0,0.5,-8.361129807988201e-05
18,240.0,1000.0,0.5,-3.7058586780000003e-09
19,240.0,1050.0,0.5,2.92715981e-10
20,320.0,600.0,0.5,-0.007030682144045846
21,320.0,650.0,0.5,-0.008003959148965175
22,320.0,700.0,0.5,-0.009394517572725207
23,320.0,750.0,0.5,-0.011548154831778892
24,320.0,800.0,0.5,-0.015393582902739598
25,320.0,850.0,0.5,0.913641426274138
26,320.0,900.0,0.5,0.9809832481102921
27,320.0,950.0,0.5,-0.6194281758506652
28,320.0,1000.0,0.5,4.727328063125e-09
29,320.0,1050.0,0.5,2.689424209625e-09
30,400.0,600.0,0.5,-0.007475256549691947
31,400.0,650.0,0.5,-0.00845666670769786
32,400.0,700.0,0.5,-0.009851264939365835
33,400.0,750.0,0.5,-0.01199895876518542
34,400.0,800.0,0.5,-0.01581212024133413
35,400.0,850.0,0.5,0.9137422106194564
36,400.0,900.0,0.5,0.027702985509146977
37,400.0,950.0,0.5,-0.6317044804454895
38,400.0,1000.0,0.5,-8.647151362192e-06
39,400.0,1050.0,0.5,0.00041540480992808404
40,480.0,600.0,0.5,-0.007724552617251017
41,480.0,650.0,0.5,-0.008704334510897761
42,480.0,700.0,0.5,-0.010093784157196105
43,480.0,750.0,0.5,-0.012229159658824984
44,480.0,800.0,0.5,-0.016013003472660596
45,480.0,850.0,0.5,0.9134031576995949
46,480.0,900.0,0.5,0.022889789687561737
47,480.0,950.0,0.5,-0.6365897652424329
48,480.0,1000.0,0.5,3.66492322126875e-07
49,480.0,1050.0,0.5,1.7778222586939845e-07
50,560.0,600.0,0.5,-0.008144148273571076
51,560.0,650.0,0.5,-0.009131345510882672
52,560.0,700.0,0.5,-0.01052586465324099
53,560.0,750.0,0.5,-0.012660398136895049
54,560.0,800.0,0.5,-0.016427611085915263
55,560.0,850.0,0.5,0.9130095659378061
56,560.0,900.0,0.5,0.02026917385599138
57,560.0,950.0,0.5,-0.6391308136547557
58,560.0,1000.0,0.5,-0.5423149294583249
59,560.0,1050.0,0.5,-7.47536107723965e-05
60,640.0,600.0,0.5,-0.008750414936632693
61,640.0,650.0,0.5,-0.00975694259241922
62,640.0,700.0,0.5,-0.011170313498172591
63,640.0,750.0,0.5,-0.013319672180906569
64,640.0,800.0,0.5,-0.017086998986423556
65,640.0,850.0,0.5,0.9123687685401111
66,640.0,900.0,0.5,0.018754306425538537
67,640.0,950.0,0.5,-0.6412610841549911
68,640.0,1000.0,0.5,-0.5341203808173096
69,640.0,1050.0,0.5,-0.5124705481405558
70,720.0,600.0,0.5,-0.009085477216303296
71,720.0,650.0,0.5,-0.010099277086587536
72,720.0,700.0,0.5,-0.011518632524574756
73,720.0,750.0,0.5,-0.013670104831652544
74,720.0,800.0,0.5,-0.017428328062581096
75,720.0,850.0,0.5,0.912017817822361
76,720.0,900.0,0.5,0.01765006819926395
77,720.0,950.0,0.5,-0.6398440257843239
78,720.0,1000.0,0.5,-0.5273284975829663
79,720.0,1050.0,0.5,-0.49937537845253455
80,800.0,600.0,0.5,-0.009491244790644617
81,800.0,650.0,0.5,-0.010515114630924468
82,800.0,700.0,0.5,-0.011943637692123229
83,800.0,750.0,0.5,-0.01410099547620256
84,800.0,800.0,0.5,-0.01785506148779992
85,800.0,850.0,0.5,0.9116239089423218
86,800.0,900.0,0.5,0.017243481558389583
87,800.0,950.0,0.5,0.36570475787880097
88,800.0,1000.0,0.5,-0.548052601249592
89,800.0,1050.0,0.5,-0.5080090381596947
90,160.0,600.0,1.0,-0.02184973099007188
91,160.0,650.0,1.0,-0.024927165941194183
92,160.0,700.0,1.0,-0.02942219987427554
93,160.0,750.0,1.0,-0.036599225880493205
94,160.0,800.0,1.0,0.934747695734752
95,160.0,850.0,1.0,0.9419044289471463
96,160.0,900.0,1.0,0.9850989824476496
97,160.0,950.0,1.0,0.20831720850260593
98,160.0,1000.0,1.0,-0.698359916421333
99,160.0,1050.0,1.0,0.2986155225007278
100,240.0,600.0,1.0,-0.023064012238483908
101,240.0,650.0,1.0,-0.02609617613371974
102,240.0,700.0,1.0,-0.030511316991715054
103,240.0,750.0,1.0,-0.037544780499422226
104,240.0,800.0,1.0,0.9342965228068845
105,240.0,850.0,1.0,0.9287314595484154
106,240.0,900.0,1.0,0.023274611701556865
107,240.0,950.0,1.0,0.17408820924055882
108,240.0,1000.0,1.0,0.2954435188835088
109,240.0,1050.0,1.0,0.37847942425991227
110,320.0,600.0,1.0,-0.025145739723656496
111,320.0,650.0,1.0,-0.02818155441860066
112,320.0,700.0,1.0,-0.03257460228533958
113,320.0,750.0,1.0,-0.03953115197611281
114,320.0,800.0,1.0,0.9325235083028902
115,320.0,850.0,1.0,0.9210957808211565
116,320.0,900.0,1.0,0.017708470388622288
117,320.0,950.0,1.0,0.1627372693218668
118,320.0,1000.0,1.0,0.29014100033037965
119,320.0,1050.0,1.0,0.6523898046066231
120,400.0,600.0,1.0,-0.02675755283604233
121,400.0,650.0,1.0,-0.02980169264635981
122,400.0,700.0,1.0,-0.034185638586848366
123,400.0,750.0,1.0,-0.04109605021937457
124,400.0,800.0,1.0,0.9310931266775913
125,400.0,850.0,1.0,0.9113430471902182
126,400.0,900.0,1.0,0.01953754681043053
127,400.0,950.0,1.0,0.15863016346599712
128,400.0,1000.0,1.0,0.283481706349005
129,400.0,1050.0,1.0,0.6525480276807827
130,480.0,600.0,1.0,-0.027686800909413178
131,480.0,650.0,1.0,-0.030717290101364182
132,480.0,700.0,1.0,-0.03507518747424041
133,480.0,750.0,1.0,-0.041934005929880155
134,480.0,800.0,1.0,0.9303625895491751
135,480.0,850.0,1.0,0.9078415082430423
136,480.0,900.0,1.0,0.05754146209436926
137,480.0,950.0,1.0,0.15461848697333
138,480.0,1000.0,1.0,0.2804872097958792
139,480.0,1050.0,1.0,0.652349288023258
140,560.0,600.0,1.0,-0.029219521346872793
141,560.0,650.0,1.0,-0.03225761332347092
142,560.0,700.0,1.0,-0.03661124884125805
143,560.0,750.0,1.0,-0.043440610304565745
144,560.0,800.0,1.0,0.9289447080252214
145,560.0,850.0,1.0,0.9064021732802833
146,560.0,900.0,1.0,0.048945895580825634
147,560.0,950.0,1.0,0.15335485081363304
148,560.0,1000.0,1.0,0.28562209941911254
149,560.0,1050.0,1.0,0.6490155701537553
150,640.0,600.0,1.0,-0.03141752951812228
151,640.0,650.0,1.0,-0.03449336047384093
152,640.0,700.0,1.0,-0.03887606751402223
153,640.0,750.0,1.0,-0.045709976361033716
154,640.0,800.0,1.0,0.9267399593571488
155,640.0,850.0,1.0,0.9044691074604491
156,640.0,900.0,1.0,0.07162734109570726
157,640.0,950.0,1.0,0.15648340858372206
158,640.0,1000.0,1.0,0.28242826294200135
159,640.0,1050.0,1.0,0.6595376889572038
160,720.0,600.0,1.0,-0.032642405274782675
161,720.0,650.0,1.0,-0.03572867465974571
162,720.0,700.0,1.0,-0.04011394647125866
163,720.0,750.0,1.0,-0.0469320881796222
164,720.0,800.0,1.0,0.9255800223670557
165,720.0,850.0,1.0,0.9035090201441812
166,720.0,900.0,1.0,0.9525268415939285
167,720.0,950.0,1.0,0.15784650974405562
168,720.0,1000.0,1.0,0.2886012769168515
169,720.0,1050.0,1.0,0.6449844943980605
170,800.0,600.0,1.0,-0.03412149979377828
171,800.0,650.0,1.0,-0.037224369109609266
172,800.0,700.0,1.0,-0.041618906442215116
173,800.0,750.0,1.0,-0.04842872653264973
174,800.0,800.0,1.0,0.9241374349277333
175,800.0,850.0,1.0,0.9022632245160541
176,800.0,900.0,1.0,0.9463252511659825
177,800.0,950.0,1.0,0.15965931846123568
178,800.0,1000.0,1.0,0.2887232709303504
179,800.0,1050.0,1.0,0.3436691783573203
180,160.0,600.0,1.5,0.8609997996003961
181,160.0,650.0,1.5,0.9018726310787488
182,160.0,700.0,1.5,0.9155981722850919
183,160.0,750.0,1.5,0.9132184681848726
184,160.0,800.0,1.5,0.9093096274534718
185,160.0,850.0,1.5,0.9112068128929672
186,160.0,900.0,1.5,0.03168027589494218
187,160.0,950.0,1.5,0.13026584557914458
188,160.0,1000.0,1.5,0.1938331012290089
189,160.0,1050.0,1.5,0.2568394669470878
190,240.0,600.0,1.5,0.8584399114026843
191,240.0,650.0,1.5,0.8993920095575368
192,240.0,700.0,1.5,0.9132593257841095
193,240.0,750.0,1.5,0.9097808139413663
194,240.0,800.0,1.5,0.8989888578240447
195,240.0,850.0,1.5,0.8769735567323723
196,240.0,900.0,1.5,0.023689712573642593
197,240.0,950.0,1.5,0.08504899966797008
198,240.0,1000.0,1.5,0.1722128609193177
199,240.0,1050.0,1.5,0.2371362017440363
200,320.0,600.0,1.5,0.8540887613288022
201,320.0,650.0,1.5,0.8950625387430802
202,320.0,700.0,1.5,0.9090105228783779
203,320.0,750.0,1.5,0.9056410388001604
204,320.0,800.0,1.5,0.8912512919465867
205,320.0,850.0,1.5,0.8890937126819383
206,320.0,900.0,1.5,0.052875085043864484
207,320.0,950.0,1.5,0.1481893361987163
208,320.0,1000.0,1.5,0.17626199718690774
209,320.0,1050.0,1.5,0.24079614209164948
210,400.0,600.0,1.5,0.8507261420243276
211,400.0,650.0,1.5,0.891711444861799
212,400.0,700.0,1.5,0.9057043696527771
213,400.0,750.0,1.5,0.9024463378832397
214,400.0,800.0,1.5,0.8846608437890396
215,400.0,850.0,1.5,0.864521042638619
216,400.0,900.0,1.5,0.12003749139155756
