# t (s)	mx ()	my ()	mz ()	ext_topologicalcharge ()	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0.9921444	0	2.3642043e-17	-3.21808e-17	1.8013618e-17	3.0720003e-18	3.473723e-17	0
1.0013655818936463e-11	0.004947177	-0.0029698093	0.9517653	-0.8846885	1.00187394e-16	-2.934226e-17	1.6652299e-17	1.09314704e-16	3.562652e-18	0
2.0000107943036604e-11	0.0021713944	0.0023420407	0.94139856	-0.57829046	1.0209031e-16	-2.8798862e-17	1.6367888e-17	1.09539525e-16	4.9817585e-18	0
3.001533766430724e-11	0.00070283987	-0.0008283619	0.9313753	-0.5548108	9.545764e-17	-2.8372805e-17	1.6142443e-17	1.1013694e-16	-2.448941e-18	0
4.0004702098884134e-11	-0.0020635712	-3.941321e-05	0.9221179	-1.0121828	1.00411124e-16	-2.7988338e-17	1.5932217e-17	1.0880996e-16	3.6572864e-18	0
5.0006296535115176e-11	-0.0064164344	-0.005016997	0.9141471	-0.7923462	1.03496574e-16	-2.76876e-17	1.5764603e-17	1.0831791e-16	7.101673e-18	0
6.001652240909986e-11	0.0007312471	-2.1377255e-05	0.9108745	-0.52660316	9.6073236e-17	-2.7600001e-17	1.5714984e-17	1.086044e-16	-6.46143e-19	0
7.000578970588765e-11	-0.0037399153	0.0037073956	0.90951174	-0.9178303	9.1277435e-17	-2.766556e-17	1.5749666e-17	1.09967316e-16	-6.77399e-18	0
8.001663159939809e-11	-0.0063118446	0.00564509	0.9054207	-0.63470834	9.0173235e-17	-2.7614196e-17	1.571679e-17	1.0933502e-16	-7.264399e-18	0
9.000059007265638e-11	-0.0058553875	0.0009998488	0.90378106	-0.60679674	9.3255866e-17	-2.7668283e-17	1.5742392e-17	1.0870241e-16	-3.520654e-18	0
1.000128042969247e-10	-0.0040406785	0.00026128968	0.9020346	-0.83529216	9.573294e-17	-2.7770835e-17	1.5795805e-17	1.0882626e-16	-1.1182827e-18	0
1.1000221208838136e-10	0.0027841732	-0.0032541275	0.90025926	-0.54463154	9.0130605e-17	-2.7850897e-17	1.5832429e-17	1.0856851e-16	-6.4194385e-18	0
1.200096100972423e-10	0.00027457764	-0.0036690785	0.89784396	-0.6055855	9.151939e-17	-2.7869296e-17	1.5837433e-17	1.08729444e-16	-5.178199e-18	0
1.300019887512622e-10	0.0036511763	-0.0052114176	0.89488626	-0.78315514	8.888319e-17	-2.7879008e-17	1.5841263e-17	1.0853819e-16	-7.617257e-18	0
1.4000202777854055e-10	0.0052571907	0.0016435941	0.8907059	-0.5176487	9.859815e-17	-2.789153e-17	1.5845086e-17	1.08880083e-16	1.7645237e-18	0
1.5000409768430445e-10	0.0055760485	-0.002001283	0.88409615	-0.3862658	1.0081575e-16	-2.7785682e-17	1.5788104e-17	1.0914126e-16	3.6720628e-18	0
1.6001579596601444e-10	0.007382781	0.0005810664	0.87919915	-0.80991393	8.948184e-17	-2.7788322e-17	1.5787807e-17	1.0836452e-16	-6.8821712e-18	0
1.7001042915905737e-10	0.0073858723	0.0010571543	0.87210155	-0.42443308	1.0417118e-16	-2.7748801e-17	1.5761343e-17	1.08819024e-16	7.3396174e-18	0
1.800087341394057e-10	0.00802648	0.0101345675	0.86409956	-0.69085383	1.0032152e-16	-2.7563299e-17	1.56592e-17	1.08089974e-16	4.135635e-18	0
1.900138663516217e-10	0.0024283093	0.009130634	0.8570187	-0.7885257	9.938063e-17	-2.7469674e-17	1.560781e-17	1.0770354e-16	3.538946e-18	0
2.0000162695312334e-10	-0.0031181711	0.008897115	0.84920657	-0.4378754	9.5323486e-17	-2.734195e-17	1.5537481e-17	1.08607895e-16	-1.4799432e-18	0
2.100066731601695e-10	-0.00922685	0.008649671	0.841038	-0.38301688	8.924103e-17	-2.7175595e-17	1.544549e-17	1.07809023e-16	-6.8378873e-18	0
2.2001003532449789e-10	-0.011459784	0.0026229606	0.8320837	-0.11957659	1.0931828e-16	-2.7013982e-17	1.5356477e-17	1.084747e-16	1.2501078e-17	0
2.300101058468393e-10	-0.011063855	-0.0037038645	0.82508224	-0.8211527	1.0531627e-16	-2.693871e-17	1.5312058e-17	1.0781942e-16	9.123505e-18	0
2.4000249739366067e-10	-0.014964661	-0.0069495817	0.8213481	-0.625264	1.0341369e-16	-2.6973973e-17	1.5329296e-17	1.0874457e-16	6.3137993e-18	0
2.5001746939284543e-10	-0.007044932	-0.010679419	0.81605685	-0.6348828	9.711101e-17	-2.7050042e-17	1.5371875e-17	1.08770604e-16	1.857792e-20	0
2.6000010701284345e-10	-0.0037152993	-0.014828415	0.8135466	-0.71278137	9.3812664e-17	-2.70767e-17	1.5380026e-17	1.08016606e-16	-2.5072682e-18	0
2.7001171738115186e-10	0.0014641221	-0.016542962	0.8088942	-0.6511296	1.02078594e-16	-2.6976702e-17	1.5323046e-17	1.08466076e-16	5.2661705e-18	0
2.8001432731812464e-10	0.008738968	-0.018989272	0.8060347	-0.51213676	9.5936295e-17	-2.7028821e-17	1.5353132e-17	1.0779299e-16	-1.8101043e-19	0
2.900141906815418e-10	0.02053146	-0.015395027	0.8026631	-1.0300155	1.0297249e-16	-2.7159862e-17	1.542175e-17	1.08587453e-16	6.1231524e-18	0
3.0000989059066916e-10	0.022071628	-0.010684788	0.79818374	-0.98484445	1.03102816e-16	-2.7094471e-17	1.53873e-17	1.08439944e-16	6.370042e-18	0
3.1000080382798054e-10	0.022225328	0.0018121711	0.79191923	-0.4703623	9.8904226e-17	-2.708925e-17	1.5380108e-17	1.0764184e-16	2.9715287e-18	0
3.2001100077004376e-10	0.019911435	0.011744485	0.7865894	-0.39959943	8.861361e-17	-2.7013669e-17	1.533819e-17	1.08187025e-16	-7.897936e-18	0
3.3001248649529314e-10	0.009302404	0.012848971	0.78273654	-0.66942185	9.074705e-17	-2.7002663e-17	1.5331463e-17	1.0827893e-16	-5.86069e-18	0
3.4000916418934796e-10	-0.0001257219	0.014776899	0.77740824	-0.3610021	9.304247e-17	-2.6970808e-17	1.5315388e-17	1.07869785e-16	-3.171886e-18	0
